name line center width
TiI 6064.626 6064.647431246959 0.15789459551630594
FeI 6136.615 6136.609416774084 0.13518840029109924
FeI 7389.398 7389.392841505107 0.11839021693439074
FeI 7583.788 7583.786755010377 0.1822570351905597
FeI 7912.866 7912.849865099375 0.14262385727118954
FeI 8075.149 8075.149745872002 0.17789343580702735
FeI 8204.936 8204.927877238504 0.13145628071236257
TiI 8396.898 8396.87947372816 0.2186138957468605
TiI 8412.358 8412.348025249901 0.23586405005866815
TiI 8416.95 8416.965488426376 0.23599351256486373
TiI 8426.507 8426.511778438238 0.23626116745729703
TiI 8434.961 8434.953903300822 0.2364978642376977
TiI 8435.653 8435.64653220172 0.21962319218437187
TiI 8450.891 8450.881848535253 0.13539682592610397
TiI 8467.147 8467.179011271284 0.16957241317464244
FeI 8514.071 8514.076481943937 0.23871627024961456
TiI 8548.088 8548.093116984277 0.15407358083712097
FeI 8611.803 8611.807711748794 0.2242095311761053
FeI 8674.746 8674.746265253583 0.15635639801746493
TiI 8675.372 8675.37171401811 0.1911160425770504
TiI 8682.983 8682.96755772154 0.24345156879196742
FeI 8688.623 8688.62095208887 0.26101079607834826
TiI 8692.33 8692.310685104116 0.12185676381326023
TiI 8734.71 8734.71548858406 0.12245122810812366
FeI 8757.187 8757.187908644633 0.17538037769554649
FeI 8824.219 8824.210392987965 0.2650839406883928
FeI 8838.428 8838.430335625028 0.19470814864844216
FeI 8868.43 8868.395266547512 0.12432525783697201
TiI 9718.96 9718.948019194664 0.21410555572238082
TiI 9728.407 9728.392716316035 0.31172889916342683
TiI 9832.14 9832.143798307596 0.2559808829166741
FeI 10340.885 10340.880389942253 0.18638709794311126
FeI 10395.794 10395.78200405926 0.18737665509536328
TiI 10584.633 10584.624330599701 0.29676948837774175
TiI 10661.623 10661.617921215318 0.32028022122079036
TiI 10774.866 10774.846829688955 0.25894532345079246
TiI 11797.186 11797.156965140679 0.25988760611771794
FeI 11884.083 11884.041548498632 0.3094019348189552
TiI 11949.547 11949.528930060056 0.26324429686665096
TiI 12811.478 12811.48051671751 0.28223273389421594
TiI 12919.899 12919.903582436189 0.2846212495838699
TiI 15715.578 15715.583795544655 0.40915604455699395
TiO 7054.27 7054.27 4.0
TiO 7087.4 7087.4 4.0
TiO 7124.995 7124.995 4.0
TiO 8441.555 8441.555 4.0
TiO 8859.725 8859.725 4.0
