namer l1       l2       order type
a     5636.61  5651.65  0     line
a     5859.04  5874.01  0     line
a     5914.95  5929.51  0     line
a     5969.39  5985.75  0     line
a     6056.60  6072.73  0     line
a     6077.90  6092.38  0     line
a     6119.00  6145.00  0     line
a     6385.90  6400.63  0     line
a     6423.28  6438.23  0     line
a     6468.58  6489.05  0     line
a     6548.73  6563.37  0     line
a     6585.30  6606.47  0     line
a     6937.06  6953.09  0     line
a     7043.69  7064.85  0     band
a     7076.49  7098.31  0     band
a     7114.30  7135.69  0     band
a     7208.93  7223.18  0     line
a     7382.29  7396.59  0     line
a     7404.15  7418.15  0     line
a     7482.50  7503.00  0     line
a     7576.46  7591.08  0     line
a     7905.87  7920.37  0     line
a     7991.31  8006.60  0     line
a     8067.78  8082.27  0     line
a     8197.77  8212.48  0     line
a     8375.78  8457.72  0     band
a     8459.84  8476.15  0     line
a     8506.00  8526.00  0     line
a     8541.09  8555.21  0     line
a     8574.78  8590.67  0     line
a     8604.25  8619.48  0     line
a     8667.41  8699.33  0     line
a     8727.71  8742.59  0     line
a     8750.26  8764.42  0     line
a     8815.71  8845.95  0     line
a     8848.87  8875.78  0     band
a     9003.23  9018.33  0     line
a     9711.21  9737.14  0     line
a     9825.15  9839.50  0     line
a     10052.60 10067.70 0     line
a     10333.30 10347.90 0     line
a     10371.50 10386.70 0     line
a     10388.90 10403.60 0     line
a     10576.90 10592.30 0     line
a     10654.40 10669.20 0     line
a     10767.90 10781.90 0     line
a     11789.90 11804.90 0     line
a     11876.10 11891.90 0     line
a     11942.20 11957.00 0     line
a     12804.50 12818.60 0     line
a     12912.90 12926.90 0     line
a     15595.50 15610.40 0     line
a     15707.80 15723.50 0     line
